content,score
Aplikasi ini sangat bermanfaat untuk menjaga kebersihan lingkungan. Melalui aplikasi ini sampah bisa di daur ulang dengan mudah. Smoga kedepannya aplikasi ini tambah maju dan bisa lebih berkembang,5
"aplikasi nya mantul 👍👍👍, tapi tolong tambahkan zona operasi di jawa timur khususnya surabaya sidoarjo & juga contact line / email pada aplikasi, maka akan saya beri bintang 5.",3
"Apk ini bagus sebenernya, tapi cakupan kotanya tolong diperluas lagi ya min... saya dari sumsel tapi kota tempat tinggal saya tidak ada dipilihan... semuanya malahan pilihan dari daerah jawa semua...😭",3
Saya download aplikasi ini tapi kenapa tidak bisa di pakai karena masih belum masuk ke dalam jangkauan wilayah Jawa timur tolong donk di perbaiki fiturnya agar bisa masuk ke wilayah Surabaya juga.,2
Aplikasi ini sangat bagus ibu jadi saya bisa menabung dengan cara memiliki sampah dengan sebanyak mungkin. Terima kasih garena sudah membuat aplikasi ini salam dari bocil kematian,5
"Aplikasi yang sangat keren, yang tadinya sampah hanya menjadi limbah, dengan aplikasi ini sampai dapat menjadi cuan.. sukses selalu mallsampah 💪",5
Aplikasi ini sebenarnya menarik dan bagus. Tapi cakupan wilayahnya belum seluruh Indonesia. Di tempat saya di kabupaten Grobogan Jawa Tengah tidak ada.,2
"App nya bagus, tpi klo bisa di Wilayah jawa barat, banten di adakan system ini karna Kan biasanya bnyk banget sampah²klo bisa di Seluruh indonesia Biar bisa mengurangi sampah² , ❤❤",5
minimal pengepulnya diedukasi dulu lah. Masa tv yg banyak komponen lainnya di dalamnya hanya dihargai 5ribu perak. Not recommended,1
"Aplikasi ini membuat saya lebih mudah untuk mengelolah sampah menjadi uang / point yang ada dirumah saya , tidak hanya sampah barang elektronik rusakpun bisa di jual kembali ...",5
Saya sangat suka aplikasi seperti ini sayang kota tempat saya tinggal tidak ada dalam program...semoga kelak lebih banyak kota dan daerah yang ditambahkan untuk program ini,5
Kenapa password masuk aplikasi anda yang ngatur. Sy mau ganti password pake password sy sendiri.,1
"Saya tadinya sudah akan memesan drop off, namun saat memasukkan alamat baru bisa beberapa wilayah di sulawesi. Di jakarta memang belum ada atau aplikasi saya error ya? Saya mau kontak call center tapi tidak saya temukan",2
"App bagus banget, bisa ngurain banyak sampan. Dan tolong banget ini daerah jawa barat tepatnya di bogor. Di adakan biar ke daur ulang",4
"Aplikasi nya stabil dan tampilan yang lebih fresh, mudah untuk di pahami dan di gunakan, sangat bermanfaat.",5
"Aplikasi yang sangat bagus, semoga dapat terus berkembang tidak hanya ada di pulau sulsel dan jakarta saja, semoga bisa mencapai seluruh Indonesia !",5
"Sangat membantu mempermudah proses daur ulang karena sampahnya bisa dijemput, jadi tidak bingung lagi untuk buang sampah yang sudah dipilah.",5
"Mohon di tingkatkan item sampahnya mungkin bisa nanti di tambahkan pakaian bekas,,untuk meningkatkan kegunaan aplikasi mall sampah",4
Aplikasi sangat bagus dan dapat membantu masyarakat kecil dan mengedukasi ttg memilah sampah yg benar. Mau tanya di manado sudah bisa menggunakan aplikasi ini?,5
Masih kurang lancar klau sdh d dlam apk nya.... Jaringan lancar masih lalot... Wfi lancar masih aja sama lalot apk... Klau tujuannya bgus untuk meningkatkan kesadaran warga akan kebersihan,2
Sangat berguna sekali buat investasi jd gampang terus membantu untuk kita lebih bijak pakai barang2 yang bisa didaur ulang,5
"Pengepul nya tidak ramah, agak bar-bar dan tidak memberikan penjelasan informasi prosedursehingga tidak memberikan kenyamanan bagi yang akan menjual",3
kalau bisa tambahkan harga perkilonya setiap barangnya karna tidak sesuai harga saat di jemput barangnya😠😡😡🥵🥵,2
Tolong dong min diperbaiki apk. Saya mau set lokasi kok malah aplikasi terkeluar.,3
Aplikasinya bagus tapi sayangnya tidak menjangkau semua kota/kabupaten.semoga kedepanya dapat lebih baik,3
"Aplikasi nya sangat bagus, memudahkan untuk mendaur ulang sampah 👍👍, semoga saja bisa mengurangi penumpukan sampah di indonesia😊",5
"Ini akan menjadi aplikasi yg sangat baik dan besar, mohon ditingkatkan lagi ke berbagai wilayah seperti Lampung.",4
"Bagus banget aplikasinyaa, bisa membuat kita jadi lebih mudah unutuk mendaur ulang",5
"Mau daftar gak bisa alasannya cek koneksi internet, padahal internet gw on tapi gak bisa daftar tolong dong di maintenance apk nya",2
Aplikasi nya bagus semoga semakin berkembang sehingga bisa di gunakan di luar pulau jawa,5
"Ga bisa daftar, server error lah, terus ketutup sendiri aplikasinya._.",1
"Jaringan bagus dan aman-aman saja tapi malah disuruh cek koneksi, mohon diperbaiki dulu.",1
"Platform lokal yg selain peduli lingkungan, bisa jadika sampah jadi uang. Kurang apa lagi.. check that out!!",5
Terima kasih sudah membantu saya mengubah sampah menjadi uang. Sangat bermanfaat. Sekali lagi terima kasih dan semangat terus buat tim Mallsampah :),5
App kerenn... bsa ngubah kertas yg udh ngk dipake jadi kertas yg berharga (duid) hehe❤,5
"Aplikasi ini bagus dan saya tertarik, tapi sayang untuk wilayahnya ga ada dijawa. Sedangkan saya sekarang berada dijawa tengah",4
"Saat masukin Alamat, applikasinya error. Tidak bisa input alamat",1
"app ny bagus tapi waktu mau kasih alamatnya ,tapi...bagian kota dipulau jawa kok ga ada ya?,saya yg tidak tau atau memang tidak ada?",4
mungkin bisa ditambah provinsi sulawesi tengah trs kabupatennya diperljas juga terima kasih 🙏 ada banyak masalah sampah disini mungkin jika apk ini diperluas sampai sini akan sangat membantu,3
"Sebagai ibu rumah tangga,sangat terbantu dengan munculnya aplikasi ini. Tidak repot lagi memikirkan pembuangan sampah, karena melalui mall sampah, sampah-sampahnya pun di daur ulang. Bagus👍",5
"Terima kasih, aplikasi ini sangat membantu sekali. Saya sudah lama jd kolektor pengumpul sampah, sejak disekolah anak off sampah2 daur ulang jd numpuk sampe berbulan2. Hampir saja diserahkan ke pemulung yg akhir'y pemulung jg memilih yg bisa menghasilkan byk uang macam kardus dan botol saja. Sudah cari sana sini jg bank sampah yg mau nampung ternyata sulit, beruntung ada Mall Sampah. Jd tgl duduk manis smua sampah dibantu angkut sana mitra'y. Jd gak ribet gak pusing, smua terangkut dgn baik. 😊",5
"StartUp ini amat bagus. Selain mampu mengedukasi masyarakat agar dapat lebih ""melek"" sampah. MallSampah jg memberi manfaat untuk penyediaan lapangan pekerjaan dalam sektor yg masih terpinggirkan. Alangkah baiknya bila MallSampah dapat dikembangkan dgn menjangkau seluruh wilayah kota besar & kabupaten di Indonesia serta menyediakan lapangan pekerjaan bagi orang dgn disabilitas. Tentunya hal tersebut akan sangat membantu mengingat di negara kita, orang disabilitas terdiskriminasi ganda.",5
"Saya suka sekali aplikasi ini,tapi harus banyak update lagi,dan di perluas lagi sampai ke seluruh indonesia",5
"Mengapa tdk ada akses untuk di daerah bagian Sulawesi, tepatnya Sulawesi Tenggara, Kendari ya? Soalnya saya tidak dapat menyimpan alamat saya krn kota saya sepertinya tidak masuk domisili? Semoga bisa melebar ke berbagai daerah ya",2
Bagus sangat membantu dan responx cepat...daerah gowa kedepannya klo bs sampah plastik jg diambil..,5
ini aplikasi hanya di makassar daerah lain seperti jawa blom ada. makassar is the best,5
"Udah selang 1 hari, stelah konfirmasi sehari sblumnya mau pick up. Malah datang. Payah. Kurang profesional.",2
"Inovatif sekali, sangat bagus untuk mengurangi sampah yg merugikan banyak makhluk hidup",5
Mallsampah tolong lah di tambah kota nya jangan hanya di pulau Jawa tapi di pulau Sumatra di adakan dong khusus nya medan,3
Sangat baik dan memudahkan penyaluran sampah.,5
Aplikasi yg sangat bagus... Sangat mendedikasi untuk lingkungan,5
"Aplikasinya jelek dan tidak berguna, banyak disformasi didalamnya",1
"Sudah pake app.nya sampahku dihargai 200 RB Alhamdulillah, bisa buat beli takjil. Makasih mallsampah sangat membantu ditengah pandemi ini",5
"Sangat membantu, mendaur ulang sampah jadi lebih mudah ^^",5
Baru mau nyoba aps ini tapi sudah lewat 2 hari order saya masih blm diproses terus padahal di notif maks 1x24 jam akan diproses. Piyeee toh,3
"Pengen jual sampah botol banyak banget di rumah , tapi daerah Manado belum bisa yah. Somoga cepat"" di adakan di manado",5
"Aplikasi ini semoga di kembangkan lagi ,,aplikasi ini bagus untuk kepedulian kita bersama terhadap lingkungan,,dan semoga makin di kembangkan dan di buka kan cabang untuk seluruh kabupaten di sulawesi selatan",5
"Aplikasi ini sangat membantu, mengurangi sampah dirumah saya ..terimakasih",5
"Auto Uninstall alesan ga ada blm masuk wilayah, disuruh anterin sendiri dong",1
Aplikasi selalu keluar sendiri saat setelah masuk login,1
"Di Aplikasinya harga tembaga disamakan dengan harga besi 500 - 3000, sedangkan kalau dijual langsung harganya kisaran 40000 - 60000.. Rugilah kalau begitu.",1
aplikasinya keren...jual sampah dengan mudah...,5
Ini tidak ada yang kabupaten bekasi plsss tambahin biar aku intall lagi aku unistall dulu ya kalo udah ada kabupaten bekasi aku kasih bintang 5 ya,1
"Aplikasi Bank Sampah sangat bermanfaat dalam mengelola limbah dan mendorong praktik ramah lingkungan. Namun, sayangnya, masih banyak daerah, termasuk wilayah Bogor, yang belum dapat mengakses aplikasi ini. Hal ini dapat menghambat potensi positif dari Bank Sampah dalam mengurangi sampah plastik dan mendukung ekonomi berkelanjutan di daerah tersebut.",4
"Aplikasinya bagus, tapi sayangnya belum menjangkau ya ke daerah Bandung",4
"Untuk di sulsel saja ada, di badung bali gk ada. Tolong perluas seluruh kabupaten/kota di Bali (Badung, Bangli, Buleleng, Denpasar, Gianyar, Jembrana, Karangasem, Klungkung, Tabanan)",5
Apakah aplikasi ini berlaku di seluruh wilayah Indonesia atau hanya beberapa wilayah khusus saja? Jika pertanyaan saya sudah ada jawabannya saya ksih bintang 5,3
"tolong tambah kan daerah Bogor ya dan Tangerang Selatan, saya terpaksa harus uninstall karena jangkauan daerah nya belum terlalu luas",4
Ini definisi bagus pake banget soalnya aku punya bisnis yang banyak sampah terus aku ketemu aplikasi ini,5
"Belum bisa dipakai provinsi Jabar, nggak bisa pakai alamat ku. Apk'a dah bagus banget dahal :(",3
Tolong aplikasi ini di upgrade lagi tambahin kota Lubuklinggau Sumatera Selatan karena aku banyak barang yg tidak di pakai lagi plisss tolong,5
"Saya kasih bintang 5 tapi bisa ga untuk alamat nya ditambah kota palembang, karena blm ada untk alamatnya disini",5
"Sorry aku uninstall, bagus sebenernya. Sayang, kotaku-Probolinggo provinsi Jawa Timur, enggak ada. Sedih;(",3
"ide dan aplikasinya keren, semangat",5
"Apakah Kota Bandung sudah bisa menggunakan aplikasi ini? Apakah ada lokasi drop off-nya? Saat ini baru saya install saja aplikasinya, semoga bisa segera digunakan.",5
"Aplikasi keren ,kapan lg sampah bisa jdi uang👍",5
"Aplikasi recomended banget,,,, memudahakan untuk semua biar hidup lebih bersih",5
"keren aplikasinya, menyelesaikan masalah sampah terutama di kota makassar",5
"Aplikasi yang keren di pakai untuk daur ulang sampah, Terima Kasih & Sukses terus Mall Sampah",5
"gak ada daerah palembang. utk sekarang uninstal dlu, kalo udh ada daerah palembang baru sy instal lg🙏",1
"Aplikasi yang sangat2 bermanfaat, mall sampah oke👍👍👍",5
Layanan terbaik untuk daur ulang sampah bernilai ekonomis,5
Sangat berguna dalam upaya mencegah sampah masuk ke TPA,5
"Aplikasi yg mantap dan inovasi nya keren,",5
aplikasi yg sgt membantu utk menjawab tantangan kedepan mengenai sampah,5
Kak apakah ada batasan kg nya baru bisa di jemput? Klo bisa kak kita buat haganya/kg biar gak nanya2 lagi🙏,3
Aku kasih buntang 3 bukan karna jelek sih tapi gak.bisa tau harga barangnnya aja,3
force close terus nih appnya,3
Inovasi aplikasi luar biasa yg memudahkan kita untuk jual sampah.. #ubahjadikebaikan,5
Sangat membantu dalam mengelola sampah 👍,5
Utk Pick Up 1x24 ya ka ? Jdi kemungkinan Bsk baru datang ya utk pengambilan sampah ny Saya minta jemput yg jam 8-12 tapi belum ada respown Mohon bantuannya,5
Menyesal instal aplikasi ini . Masa berat dibawah 10kilo ditukarkan dengan poin. Ah mending mending jual ke pelanggan lain saja dapat harga cash langsung.,1
Aplikasi sampah betul udah Ditungggu 3 hari dijemput sampahnya ngg datang2 juga yg jemput Autounistal,1
Aplikasi keren banget untuk lingkungan,5
Perluas lagi wilayah nya agar bisa menjual sampah juga Karena alamat kota hanya di sulawesi saja jadi saya tida bisa menjual sampah juga Terimakasih,5
Sangat membatu sangat beguna bagi masyarakat Kalo bisa di wilayah kalimantan selatan di adakan system ini dan saya siap untuk mewakili program ini di wilayah kalimantan selatan tepatnya. banjarmasin - plehari,5
ini sangat bermanfaat untuk warga indonesia,5
Untuk Surabaya belum ada ya bos.. Jangan install dulu,3
"Kak, tambahkan lagi dong kotanya. Tempat tinggalku di kepulauan Nias kota gunungsitoli",4
tdk bisa diupdate or download pake wifi,3
"Mantap, aplikasinya sangat membantu",5
Kalau bisa jangkauannya jga sampai di takalar kak.,4
Sangat membantu dlm mengelola sampah 👍,5
"Dengan adanya aplikasi mallsampah dapat mengurangi sampah di indonseia khususnya Sulawesi Selatan dan dapat jga meningkatkan kesadaran masyarakat untuk tdk memuang sampah sembarang.krna sampah yg selema ini mereka buang memiliki nilai jual.krna sudah ada aplikasi mallsampah yg siap membeli sampah mereka yg untuk diulang,dan masyarakat bsa jga menambah penghasil dari penjualan sampah mereka jual.",5
"Selamat mlm, saya tenaga sanitarian, mau membuat bank sampah di wilayah kerja puskesmas saya, kira² apakah bisa kita bekerja sama utk kami menjual sampahnya lewat aplikasi ini? Kebetulan disini tidak ada bsi disini. Ini bisakah utk penjemputan di desa bulagidun, sulawesi tengah? Bisakah?",5
"Appny bagus, tp gd kota sy. Pdhal gampang bgt. Ayukk buka cabang d Surabaya Kota",3
Yuk kapan lagi buang sampah bisa dapat uang sekaligus berkontribusi jaga lingkungan...,5
"Bugx keterlaluan,benar2 aplikasi sampah",1
Aplikasi ini sangat bgus dan sngat berguna.,5
Untuk wilayah sulawesi barat khususnya mamuju belum ada kah...!?! Kapan masuk di kota mamuju...!?!,4
Kenapa tidak bisa simpan alamat ?? Jd tidak bisa digunakan,2
maa sya Allah keren semoga bisa bermanfaat bagi orang banyak,5
"Tolong dicantumkan kota Semarang, saya perlu aplikasi ini. Terimakasih",5
fitur pembatalan dan perubahan jadwal penjemputan tolong diadakan,3
Sayang sekali ga ada di bandung & cimahi,3
"Wilayah kota nya tidak ada wilayah Tangerang Kota ya,",3
Ini ga ada pilihan sampah rumah tangga ya,2
Medan gak ada ya kak Tolong ya wilayah lokasinya diperbanyak,5
"Apakah bisa menerima sampah kayu? Seperti serbuk kayu ,sisa potongan potongan,? Saya punya banyak",3
Aplikasinya inovatif dan memberi kemudahan untuk orang yang membutuhkan,5
Perluas wilayahnya kak. Makasihh sudah buat app sebagus ini,5
"Depok belum tersedia, maaf uninstall",3
Kurang berlaku untuk daerah kalimantan contoh seperti balikpapan dan samarinda,1
Hanya utk makasar aja kah pick upnya? Apakah di surabaya sudah ada cabang?,3
Nama kota ku nggak ada gimana donk apa nggak bisa joint ke aplikasi ini ?,2
Lamakumi cri aplikasi yg kayak bgini. recomended lah.,5
Kalau untuk ban bekas apakah bisa disini tidak tertera soalnya..,5
Min mau saran dong tambahin sampah baju bekas yang gak layak pakai,5
"Sangat bagus, dalam hal membantu",5
Aplikasi yg sangat bermanfaat.. kerennn,5
Semoga makin berkembang dan semoga bisa lebih baik,5
Alamatnya kurang banyak cuma bs jakarta ama pare pare doank huffftt kecowaakk,1
Semoga makin lebih baik dan berkembang,5
Semangat terus MallSampah. Semoga sentiasa memberi manfaat utk banyak orang.,5
"aplikasi yang harus di dukung untuk saat ini, semangat mallsampah #UbahJadiKebaikan",5
Sangat Membantu Masyarakat dan Pemerintah,5
bukan lagi membuang sampah tapi menjual sampah 👍👍👍,5
Apakah Aplikasi Ini Sudah bisa di gunakan di kota palopo??,5
Bisa melakukan daur ulang sampah dirumah segampang itu astaga,5
Lokasi mana saja.. Apakah bisa di Sulawesi Selatan Kabupaten bantaeng,3
"kak daerah Jawa tengah dong adain juga , tysm 🙌🏼",5
Buat mall sampah...boleh tahu itu sampahnya yang udah terkumpul selanjutñya akan diapakan yah?,5
Sangat berguna karena sy sngt malas prgi buang sampah,5
sangat membantu untuk menanggulangi masalah sampah di masyarakat.,5
Jabodetabek harusnya ada dong.. Tangerang masa ga ada hhhhh~,3
Aplikasi ini sangat bagus banget.👍👏,5
Di suruh ngisi alamat tapi kotanya gak bisa. Masa kabupaten bogor aja gak ada gimana sih,2
aplikasi yang sangat membantu,5
sayangnya ga ada alamat sampai Jogja,5
Ini aplikasi yang super kereen.,5
Ini sangt bagus untk smua orang,5
Masa harga tembaga 50000. Terlalu murah. Mending jualnya ke lapak Madura sekalian. Harga kurang oke. Minimal sama dong sama lapak madura,4
Daerah bandung diantapani blm bsa,2
Tolong tambah lagi Kota nya saya kesulitan,4
Wilayah mana saja yg dapat menggunakan aplikasi ini,5
Saya kasih bintang satu dl kl di jakarta ada saya kasih bintang 5.....,1
Tolong bantu saya sampah'dirumah sudah banyak,5
Apa bisa unt wil tabanan bali?,3
Apakah saya dapat menjual dos di mall sampah ini ?,5
Aplikasi ini sangat bermanfaat,5
Salah satu sistem untuk membuat Masyarakat menjadi peduli lingkungan. #majuterusmakassar,5
Daerah Sulawesi Selatan ji... Saya kira seluruh Indonesia,1
Hanya untuk diluar pulau jawa ya ka,3
"Kok cuman di Makassar sih? Jadi, gimana untuk diluar Makassar?",1
Aplikadi ini sangat membantu,5
Untuk daerah surabaya raya sudah tersedia belum ya?,3
Bagus dan bermanfaat,5
Aplikasi berguna u/ pemberdayaan sampah,5
Semoga bisa membuka layanan diseluruh Indonesia aamiin,5
Saya ingin bertanya apakah layanan ini berfungsi di seluruh indonesia ?,5
Kalau pinrang sudah ada ngga layanannya??,5
"Apa sudah bisa di jatim, mojokerto",5
"Semoga tambah lancar, aamiin",5
Untuk kota tangsel apa blm tersedia drop offnya ?,4
bagusss bgt apk nya,5
"jakarta dong, nanti gua kasih bintang 5 edit: done",5
Kok gk ada di kota Bandar lampung !,4
Knp aplikasi ini sllu berhnti sendiri yah,1
Mau bertanya harga perkilo kalau sampah plastik berapa?,4
Sepertinya bagus. Saya coba dlu,5
Membantu mengurangi sampah,5
"Wilayah Makassar mana saja ini, kota atau sampai daerah2???",3
"Saya mau menjual sampah plastik dll,,,,tpi sayangnya jangkauannya belum sampai ke tempat saya di kabupaten Banggai(Sulawesi tengah)🙏🙏🙏🙏",5
Aplikasi sangat membantu,5
Berkat mall sampah saya bisa mengolah sampah saya menjadi uang makasihh,5
untuk mallsampah di wilayah kota medan sudah ada atau belum kak?,1
Untuk daerah jateng blm ada tlg dong segera,4
Tolong adakan daerah jawa barat seperti Bandung dan Cimahi🙏,4
Apakah di denpasar bali sudah ada ya?,4
Inovatif dan bermanfaat bagi masyarakat.,5
Aplikasinya bagus👍👍,5
Bisa pickup untuk daerah Gunung Sindur Kabupaten Bogor ga?,5
Sangat bermanfaat...,5
Belum ada buat kota dan kab.bandung :(,3
Ga bisa masukin alamat.,3
sangat membantu,5
Sangat membantu,5
Apknya kereen dan mantaap,5
Keren edukasi banget,4
Sangat bermanfaat,5
Hai mallsampah mengapa mallsampah Masih menjangkau Kota makassar Dan sekitarnya,5
"Di sulawesi selatan, tidak di jatim",1
Apakah mall sampah ada di bandung?,5
Barang2 bkas yng skiranya laku bisa di jdikan uang dri pda di buang jdi sampah,4
Bisa diajak kerjasama kah? Untuk sampah toko ritel,5
MIN MAU NANYA INI BERLAKU GAK KEPADA ORANG YANG UMURNYA 13TAHUN SEPERTI SAYA?MOHON DI JAWAB,4
Kapan masuk di pangkep kak,4
"Mall sampah keren 👍 Selama ada Mall Sampah, Sampah2 dirumah jadi Berharga😁 Sukses selalu untuk Mall Sampah",5
Tolong dong tambahin kota surabaya,5
Mall sampahnya hanya daerah makassar saja? Kabupaten Gowa nya nggak masuk ya?,1
Berhentilah membuang Mulailah menjual,5
"Tambahin kotanya dong, Tanjungpinang Kepri",3
Aplikasi yg bagus,5
Berhenti buang sampah. Mari mulai menjual sampah.,5
Min kalau sampah seperti kursi /sofa bekas bisa nda?,5
Alamat untuk jakarta blm ada ya?,2
Platform kekinian!!,5
Surabaya udah ada apa blm kk,3
Lumayan bisa jual sampah demi nikah,5
Mending tunggu pengepul yg pake gerobak....,1
Kotanya terbatas Maaf bintang 1,1
"Di Martapura, sumatra selatan dong ka",3
Untuk daerah Bogor belum ada ya?,4
Kapan ada dijayapura Papua? Sayang sekali ya,5
Belumada di Kota Karawang,1
"Apakah ada mitra yang di Kalimantan selatan, Banjarmasin?",4
Kooo ga ada buat daerah Banten,2
Nyoba dulu yg ini......hohohoho,5
Kak.. Sidrap sudah ada kah??,3
Kak tolong donk jangkauannya ditambah di kabupaten Sidrap,2
Jawabarat blm bisa yaaa😓,5
Mencerdaskan bangsa indonesia,5
Semoga semakin berkembang pak,5
semoga brmamfaat bagi negeri ini.,5
Makassar bisa tongji.. Smart,5
Mallsampah mantap. Gasss anak muda!!!,5
Tidak berguna,1
Kenapa blom ada dibandung ya?,3
Kembangkan kiii...,3
Apa sudah ada di depok?,4
Selamatkan bumi,5
Balikpapan sudah adakah Min ?,3
MasyaAllah Program yg bagus,5
Sampah itu ada gunanya,5
Jual sampah dapat uang 😍😍😍,5
SAMPAH ONLINE LEH UGA,5
smoga bermanfaat,5
Memudahkan,5
Ingin coba oke,5
"uninstalling. di socmed manapun sulit sekali dapat info ""bisa di kota mana?"" unless we install the app. itu aja harus bikin order masukin data dulu lalu masukin alamat (which was confusing bcs it was written ""informasi pengiriman"" not ""alamat""). idk what is the motive of not answering where the service is available, could be to increase number of sign up users! dear leaders, do your ux research, test your design, align your team communication. thanks",2
Coba dulu,3
Bagus,5
👍,4
👍,5
Ok,5
Ok,5
keren,5
👍,5
Ewako,5
Bagus,5
Kren mantap,5
😊,5
Bagus,4
Good,5
Go Green,5
Like,3
Keren tawwa!!,5
Heal the world 😊,5
aplikasi ini sangat sangat bermanfaat,5
apakah ini tersedia di daerah makassar,5
go green,5
Keren aplikasi ini. Good job.,5
Kereeeeennnnnnn,5
bermanfaat,5
"what the apps, sampah jadi duit, i'am shock with dis amazing apps. #CusDownload",5
"recycling platform, thats amazing",5
mantap jiwa,5
kerenn...,5
Super App. Thanks.,5
Sangat bagus..,5
Ngeri,1
mantap,5
Coba,5
Bagus,5
Mantap,5
baik,5
Baik,5
Bagus,5
kereeen,5
mantaaap,5
Seep,5
Good idea,5
Maasyaa Allah,5
mantraaaaaaaakk ewako,5
